scene,sample,traj_len,me_cost,safety_cost,total_cost,avg_me_cost,avg_safety_cost,avg_total_cost
scene,6,4,0.6980194442916533,0.11510391668328651,0.8131233609749398,0.17450486107291333,0.028775979170821628,0.20328084024373494
scene,5,4,0.6904797107522475,0.18903027497218355,0.8795099857244311,0.17261992768806186,0.04725756874304589,0.21987749643110777
scene,2,4,0.576708399203744,0.304928003318533,0.8816364025222769,0.144177099800936,0.07623200082963325,0.22040910063056923
scene,0,4,0.7493662784186976,0.13231109476689673,0.8816773731855944,0.1873415696046744,0.03307777369172418,0.2204193432963986
scene,1,4,0.6006643763064365,0.36216962083917453,0.962833997145611,0.15016609407660914,0.09054240520979363,0.24070849928640276
scene,9,4,0.6849827327051649,0.35541912547685917,1.040401858182024,0.1712456831762912,0.08885478136921479,0.260100464545506
scene,7,4,0.7860596643269153,0.37302495690654014,1.1590846212334553,0.19651491608172883,0.09325623922663503,0.28977115530836384
scene,baseline,2,0.5275718401578618,0.05957088671682956,0.5871427268746914,0.2637859200789309,0.02978544335841478,0.2935713634373457
scene,4,4,0.9524557434699044,0.22264987489365445,1.1751056183635589,0.2381139358674761,0.05566246872341361,0.2937764045908897
scene,3,4,0.9896173443938985,0.2014988785971821,1.1911162229910806,0.24740433609847462,0.050374719649295525,0.29777905574777014
scene,8,4,1.0372622247931895,0.3012229711019835,1.338485195895173,0.2593155561982974,0.07530574277549587,0.3346212989737932
scene_level2,6,4,1.2918454070998568,0.2016365054119284,1.4934819125117853,0.3229613517749642,0.0504091263529821,0.3733704781279463
scene_level2,1,4,1.2796780402322625,0.42984355639834204,1.7095215966306045,0.3199195100580656,0.10746088909958551,0.42738039915765114
scene_level2,5,4,1.3059528516347603,0.48451318121659026,1.7904660328513504,0.32648821290869007,0.12112829530414757,0.4476165082128376
scene_level2,2,4,1.2796816979339412,0.5305485431713538,1.810230241105295,0.3199204244834853,0.13263713579283845,0.45255756027632377
scene_level2,0,4,1.5667998520612003,0.3466916910354644,1.9134915430966646,0.3916999630153001,0.0866729227588661,0.47837288577416615
scene_level2,4,4,1.8166656032097452,0.1748500289219903,1.9915156321317355,0.4541664008024363,0.04371250723049758,0.4978789080329339
scene_level2,9,4,1.6258609390020342,0.43205472988328036,2.0579156688853146,0.40646523475050855,0.10801368247082009,0.5144789172213287
scene_level2,7,4,1.9578102180916872,0.23642248371089009,2.1942327018025773,0.4894525545229218,0.05910562092772252,0.5485581754506443
scene_level2,baseline,2,1.1785978199832445,0.08149909545814829,1.2600969154413928,0.5892989099916223,0.040749547729074145,0.6300484577206964
scene_level3,7,30,2.1781444669307812,0.4306656340028262,2.6088101009336073,0.07260481556435937,0.01435552113342754,0.08696033669778691
scene_level3,2,25,1.8282725439628555,0.35415095034033495,2.1824234943031904,0.07313090175851422,0.014166038013613397,0.08729693977212762
scene_level3,baseline,22,0.7781629823384759,1.1477206089690637,1.9258835913075396,0.0353710446517489,0.0521691185895029,0.0875401632412518
scene_level3,5,18,1.8261246671903333,0.2103138569509395,2.0364385241412726,0.10145137039946296,0.011684103163941082,0.11313547356340403
scene_level3,0,4,0.9707721934923514,0.16369168002788997,1.1344638735202415,0.24269304837308786,0.040922920006972494,0.28361596838006037
scene_level3,9,8,1.530184663235732,0.8045631119830781,2.33474777521881,0.1912730829044665,0.10057038899788476,0.29184347190235127
scene_level3,1,4,0.9236142070791183,0.38451424842588156,1.308128455505,0.23090355176977959,0.09612856210647039,0.32703211387625
scene_level3,4,7,2.0071534943680795,0.5254582981495274,2.532611792517607,0.28673621348115425,0.0750654711642182,0.3618016846453724
scene_level3,6,4,1.9146687868092789,0.10723097576964331,2.021899762578922,0.4786671967023197,0.02680774394241083,0.5054749406447305
scene_level3,8,4,2.142168651904371,0.2916217786295028,2.4337904305338736,0.5355421629760927,0.0729054446573757,0.6084476076334684
scene_level3,3,4,2.358130277195717,0.47556736619756396,2.8336976433932812,0.5895325692989293,0.11889184154939099,0.7084244108483203
